EXTERNAL_ID,Item Name,Quantity on Hand,Next ETA Date,COST,Preferred Price,Shipping Method,Ship date,Shipping Fee,Handling Fee,Shipping Total,Shipping Lead Time,MSRP,MAP,Avg. LOW Competitive Price,Avg. HIGH Competitive Price,PRICE,RETURN & EXCHANGES,Modsy Product ID,3D Asset,Updated in Warehouse,Checked/Removed from Collections,Link to site
7120116,Stella Table Lamp,0,OOS,$218.75,$175.00,FDX,N/A,,,,,$619.00,$299.00,,not coming up when searching - only one as out of stock,$389.00,30 days*,34182,yes,1/12/18 - KM,,http://www.butlerspecialty.net/products/lighting/lamps/table-lamp-12339.html
3623247,"Demilune Console Table, Driftwood",0,02/14/2018,$353.75,$283.00,FDX-OS,2/14/2018,,,,,$999.00,$589.00,$589.00,$999.00,$589.00,30 days*,28642,yes,12/26/17 - KM,,http://www.butlerspecialty.net/skilling-5599.html
2251247,"Cobble Hill Console Table, Driftwood",0,01/29/2018,$227.50,$182.00,FDX,1/29/2018,,,,,$639.00,$349.00,$292.00,$339.00,$349.00,30 days*,28651,yes,1/12/18 - KM,,http://www.butlerspecialty.net/cobble-hill-3345.html
5103978,Berkeley Pouf,0,03/23/2018,$108.75,$87.00,FDX-OS,3/23/2018,,,,,$309.00,$189.00,$154.00,$184.00,$189.00,30 days*,28656,yes,1/12/18 - KM,,
9337354,Forster Campaign Cabinet,0,1/26/2018,$416.25,$333.00,FDX-OS,2/14/2018,,,,,"$1,169.00",$699.00,$593.00,$689.00,$689.00,30 days*,28683,yes,,,
5152330,Yeager Console Cabinet,0,02/23/2018,"$1,012.50",$810.00,LTL (Threshold),2/14/2018,$209.00,,,,"$2,839.00","$1,509.00","$1,082.42","$1,097.17","$1,509.00",30 days*,28685,yes,1/12/18 - KM,,
9306295,Easterbrook Chest,0,02/01/2018,$378.75,$303.00,LTL (Threshold),2/14/2018,$209.00,,,,"$1,069.00",$639.00,$619.00,$719.00,$719.00,30 days*,32782,yes,12/26/17 - KM,,http://www.butlerspecialty.net/products/consoles-chests/chests-cabinets/drawer-chest-5191.html
3382140,Stockholm Etagere,0,01/30/2018,$252.50,$202.00,FDX-OS,2/14/2018,,,,,$709.00,$429.00,$367.00,$428.81,$429.00,30 days*,32788,yes,1/12/18 - KM,,http://www.butlerspecialty.net/products/bookcase-etageres/etageres/stockholm.html
3722344,Melton Stool,0,01/26/2018,$121.25,$97.00,FDX,2/14/2018,,,,,$339.00,$189.00,$154.00,$179.00,$189.00,30 days*,32792,yes,1/12/18 - KM,,http://www.butlerspecialty.net/products/seating/becnhes/stool-9458.html
9352295,Easterbrook Chairside Chest Nightstand,0,02/07/2018,$252.50,$202.00,FDX-OS,2/14/2018,,,,,$709.00,$429.00,$326.00,$379.00,$379.00,30 days*,32804,yes,12/26/17 - KM,,http://www.butlerspecialty.net/products/tables/chairside-chests/easterbrook-3718.html
2249275,Lacey Nesting Tables,0,01/26/2018,$177.50,$142.00,FDX,2/14/2018,,,,,$499.00,$269.00,$269.00,$473.50,$509.00,30 days*,32807,yes,,,http://www.butlerspecialty.net/products/tables/nesting-tables/nest-of-tables.html
3821226,Graci Serving Table,0,03/01/2018,$523.75,$419.00,LTL (Threshold),2/14/2018,$209.00,,,,"$1,469.00",$879.00,$722.00,$839.00,$839.00,30 days*,32812,yes,1/12/18 - KM,,http://www.butlerspecialty.net/products/tables/serving-tables/graci.html
2878140,Asheville Accent Table,0,04/04/2018,$210.00,$168.00,FDX,2/14/2018,,,,,$589.00,$319.00,$275.00,$319.00,$319.00,30 days*,32816,yes,12/26/17 - KM,,http://www.butlerspecialty.net/products/tables/accent-tables/bunching-table-7470.html
3775389,Quantum Accent Table,0,01/25/2018,$172.50,$138.00,FDX-OS,2/14/2018,,,,,$489.00,$289.00,$249.00,$289.00,$289.00,30 days*,32820,yes,,,http://www.butlerspecialty.net/products/tables/accent-tables/quantum.html
3372140,Lautner Accent Table,0,01/26/2018,$135.00,$108.00,FDX-OS,2/14/2018,,,,,$379.00,$229.00,$172.00,$189.05,$199.00,30 days*,32824,yes,,,http://www.butlerspecialty.net/products/tables/accent-tables/lautner.html
9341354,Forster Desk,0,02/01/2018,$378.75,$303.00,FDX-OS,2/14/2018,,,,,"$1,069.00",$639.00,$543.00,$629.00,$629.00,30 days*,32825,NO,12/26/17 - KM,,http://www.butlerspecialty.net/products/other/desk-secretaries/forster.html
2677025,Cascade Accent Table,0,01/26/2018,$172.50,$138.00,FDX-OS,2/14/2018,,,,,$489.00,$269.00,$223.00,$264.00,$269.00,30 days*,34720,yes,1/12/18 - KM,,http://www.butlerspecialty.net/products/tables/accent-tables/cascade.html
6230330,Oscar Cabinet,3,,$956.25,$765.00,LTL (Threshold),3 days,$209.00,,,,"$2,679.00","$1,389.00",$998.50,"$1,203.96","$1,389.00",30 days*,32781,yes,1/12/18 - KM,,http://www.butlerspecialty.net/products/consoles-chests/chests-cabinets/console-chest-7255.html
5059070,Jaxon Accent Table,4,,$278.75,$223.00,FDX-OS,1 day,,,,,$789.00,$469.00,$395.00,$395.00,$469.00,30 days*,34718,yes,1/12/18 - KM,,http://www.butlerspecialty.net/products/tables/accent-tables/side-table-20086.html
3685350,Xavier Accent Cabinet,4,,$631.25,$505.00,LTL (Threshold),3 days,$209.00,,,,"$1,769.00",$929.00,$680.97,$713.99,$899.00,30 days*,28654,yes,,,
7016304,Wilshire Accent Table,4,,$260.00,$208.00,FDX,1 day,,,,,$729.00,$399.00,$335.00,$399.00,$399.00,30 days*,32822,yes,1/12/18 - KM,,http://www.butlerspecialty.net/products/tables/accent-tables/accent-table-52938.html
4290998,Manto Upholstered Stool,4,,$135.00,$108.00,FDX-OS,1 day,,,,,$379.00,$229.00,$189.00,$219.00,$219.00,30 days*,28674,yes,,,http://www.butlerspecialty.net/upholstered-stool.html
3713349,Althea Accent Table,6,,$448.75,$359.00,FDX-OS,1 day,,,,,"$1,259.00",$669.00,$474.66,$543.87,$669.00,30 days*,32819,yes,1/12/18 - KM,,http://www.butlerspecialty.net/products/tables/accent-tables/end-table-13223.html
3844140,Arcot Console Chest,7,,$478.75,$383.00,LTL (Threshold),3 days,$209.00,,,,"$1,349.00",$799.00,$632.00,$789.00,$789.00,30 days*,28686,yes,,,
5021247,Channing Console Table,8,,$185.00,$148.00,FDX-OS,1 day,,,,,$519.00,$309.00,$232.00,$240.00,$279.00,30 days*,28652,yes,,,
3379140,Stockholm Accent Table,8,,$235.00,$188.00,FDX,1 day,,,,,$659.00,$359.00,$230.00,$349.99,$359.00,30 days*,32818,yes,1/12/18 - KM,,http://www.butlerspecialty.net/products/tables/accent-tables/stockholm.html
1267140,Marlena Accent Table,11,,$262.50,$210.00,FDX,1 day,,,,,$749.00,$399.00,$237.33,$399.00,$399.00,30 days*,34719,yes,1/12/18 - KM,,http://www.butlerspecialty.net/products/tables/accent-tables/accent-table-54244.html
9334222,Monika Accent Chest,11,,$528.75,$423.00,LTL (Threshold),3 days,$209.00,,,,"$1,489.00",$889.00,$747.50,$879.00,$879.00,30 days*,28653,yes,,,
2703290,Fontainebleu Bookcase,12,,$403.75,$323.00,LTL (Threshold),3 days,$209.00,,,,"$1,139.00",$679.00,$576.00,$657.66,$669.00,30 days*,32787,yes,,,http://www.butlerspecialty.net/products/bookcase-etageres/bookcases/fontainebleau.html
3538226,Tiny Bubbles Mirror,13,,$172.50,$138.00,FDX-OS,1 day,,,,,$489.00,$289.00,$192.99,$241.00,$259.00,30 days*,32801,yes,,,http://www.butlerspecialty.net/products/other/mirrors/tiny-bubbles.html
3938140,Kenner Serving Table,13,,$340.00,$272.00,FDX-OS,1 day,,,,,$959.00,$569.00,$490.00,$569.00,$569.00,30 days*,32813,yes,,,http://www.butlerspecialty.net/products/tables/serving-tables/kenner.html
9343295,Easterbrook Console,15,,$290.00,$232.00,LTL (Threshold),3 days,$209.00,,,,$819.00,$489.00,$412.00,$479.00,$479.00,30 days*,32786,yes,,,http://www.butlerspecialty.net/products/consoles-chests/consoles-sofa-tables/easterbrook.html
3949025,Paulette Accent Table,15,,$198.75,$159.00,FDX-OS,1 day,,,,,$559.00,$339.00,$212.49,$272.00,$272.00,30 days*,34170,yes,,,http://www.butlerspecialty.net/products/tables/accent-tables/paulette.html
3728140,Labyrinth Pouf,16,,$140.00,$112.00,FDX-OS,1 day,,,,,$339.00,$239.00,$184.00,$184.00,$229.00,30 days*,28677,yes,,,
4292996,Gilmore Chair,16,,$272.50,$218.00,FDX-OS,1 day,,,,,$769.00,$459.00,$324.89,$404.50,$459.00,30 days*,32779,yes,1/12/18 - KM,,http://www.butlerspecialty.net/products/seating/accent-chairs/slipper-chair.html
4269140,Garner Stool,16,,$96.25,$77.00,FDX-OS,1 day,,,,,$269.00,$169.00,$137.00,$159.00,$159.00,30 days*,32790,yes,,,http://www.butlerspecialty.net/products/seating/becnhes/stool-9459.html
3848140,Brooke Accent Table,18,,$108.75,$87.00,FDX-OS,1 day,,,,,$309.00,$189.00,$122.40,$144.00,$144.00,30 days*,32823,yes,,,http://www.butlerspecialty.net/products/tables/accent-tables/brooke.html
9347288,Bedford Demilune Console Table,19,,$428.75,$343.00,LTL (Threshold),3 days,$209.00,,,,"$1,209.00",$719.00,$604.50,$709.00,$709.00,30 days*,28689,yes,,,
3726140,Sanibel Pouf,20,,$126.25,$101.00,FDX-OS,1 day,,,,,$359.00,$219.00,$149.99,$180.00,$209.00,30 days*,28680,yes,,,http://www.butlerspecialty.net/pouffe-5402.html
3710354,Leena Chair,20,,$240.00,$192.00,FDX-OS,1 day,,,,,$679.00,$399.00,$269.99,$320.00,$320.00,30 days*,32778,yes,,,http://www.butlerspecialty.net/products/seating/accent-chairs/side-chair-7989.html
3708292,Lydia Barstool,22,,$286.25,$229.00,FDX-OS,1 day,,,,,$809.00,,$321.50,$439.00,$439.00,30 days*,28655,yes,1/12/18 - KM,,http://www.butlerspecialty.net/barstool.html
6149318,Orzo Mirror,23,,$175.00,$140.00,FDX,1 day,,,,,$489.00,$239.00,$151.19,$190.00,$239.00,30 days*,32799,yes,1/12/18 - KM,,http://www.butlerspecialty.net/products/other/mirrors/oval-wall-mirror.html
4313295,Helios Mirror,25,,$315.00,$252.00,FDX-OS,1 day,,,,,$889.00,$529.00,$447.00,$502.00,$519.00,30 days*,32797,yes,,,http://www.butlerspecialty.net/products/other/mirrors/helios.html
7105116,Cairin Table Lamp,28,,$197.50,$158.00,FDX,1 day,,,,,$559.00,$329.00,$283.00,$329.00,$329.00,30 days*,32793,yes,1/12/18 - KM,,http://www.butlerspecialty.net/products/lighting/lamps/table-lamp-12052.html
3954288,Halcyon Chairside Chest,28,,$126.25,$101.00,FDX-OS,1 day,,,,,$359.00,$219.00,,,$284.70,30 days*,32805,yes,1/12/18 - KM,,http://www.butlerspecialty.net/products/tables/chairside-chests/halcyon.html
7135116,Jayson Table Lamp,29,,$356.25,$285.00,FDX,1 day,,,,,$999.00,,$230.50,$271.04,$469.00,30 days*,32795,yes,1/12/18 - KM,,http://www.butlerspecialty.net/products/lighting/lamps/table-lamp-12065.html
341211,Archer Cherry Accent Table,29,,$177.50,$142.00,FDX-OS,1 day,,,,,$499.00,$299.00,$249.00,$289.00,$289.00,30 days*,34713,yes,,,http://www.butlerspecialty.net/products/tables/accent-tables/archer-4418.html
9300288,Lansing Cabinet,31,,"$1,206.25",$965.00,LTL (Threshold),3 days,$209.00,,,,"$3,379.00","$1,759.00","$1,393.00","$1,480.17","$1,870.72",30 days*,32783,yes,,,http://www.butlerspecialty.net/products/consoles-chests/chests-cabinets/sideboard-3299.html
3347140,Nuance Chairside Chest,40,,$172.50,$138.00,FDX-OS,1 day,,,,,$489.00,$289.00,$249.00,$289.00,$289.00,30 days*,32806,yes,,,http://www.butlerspecialty.net/products/tables/chairside-chests/nuance.html
6805111,Jobert Accent Table,44,,$222.50,$178.00,FDX-OS,1 day,,,,,$629.00,$379.00,$216.00,$369.00,$379.00,30 days*,32821,yes,1/12/18 - KM,,http://www.butlerspecialty.net/products/tables/accent-tables/jobert.html
6221365,Le Blanc Wall Clock,46,,$71.25,$57.00,FDX,1 day,,,,,$199.00,$109.00,$94.00,$109.00,$109.00,30 days*,32803,yes,,,http://www.butlerspecialty.net/products/table-top-accessories/wall-clock-5445.html
9360288,Hyannis Cabinet,47,,$428.75,$343.00,LTL (Threshold),3 days,$209.00,,,,"$1,209.00",$719.00,$629.50,$709.00,$709.00,30 days*,32785,yes,,,http://www.butlerspecialty.net/products/consoles-chests/chests-cabinets/hyannis.html
2896025,Greely Accent Table,55,,$76.25,$61.00,FDX,1 day,,,,,$219.00,$119.00,$103.00,$119.00,$119.00,30 days*,34717,yes,1/12/18 - KM,,http://www.butlerspecialty.net/products/tables/accent-tables/greeley.html
6178140,Metropolitan Chair,22,,,$178.00,FDX-OS,,,,,,$629.00,$379.00,,,$379.00,30 days*,,NO,ADDED TO THIS LIST 2/5 - KM - NOT UPDATE IN WAREHOUSE,,
3302140,Del Mar Accent Table,20,,,$91.00,FDX-OS,,,,,,$319.00,$189.00,,,$189.00,30 days*,1789,yes,ADDED TO THIS LIST 2/5 - KM - NOT UPDATE IN WAREHOUSE,,