EXTERNAL_ID,PRICE
101377,$298.00
101376,$298.00
102156,"$1,398.00"
102069,$498.00
102831,$258.00
102832,$258.00
103520,$798.00
103495,$798.00
101534,$198.00
101533,$198.00
102521,"$1,598.00"
101304,$998.00
102597,"$1,598.00"
101305,$998.00
104038,$178.00
104039,$178.00
104035,$158.00
102882,$798.00
102883,$798.00
101672,$698.00
101707,$598.00
101704,$598.00
100759,$198.00
100445,$198.00
102940,$838.00
103331,$798.00
103332,$498.00
103333,$798.00
103334,$598.00
103499,$798.00
103340,"$1,798.00"
101364,$198.00
47901,$698.00
47902,$378.00
103318,"$1,598.00"
103319,"$1,598.00"
102984,$798.00
102928,$998.00
102924,"$1,598.00"
102922,$578.00
102927,"$1,998.00"
103435,"$1,398.00"
103431,"$2,598.00"
102997,$998.00
103751,$598.00
102096,$598.00
58018,$198.00
58012,$198.00
58016,$198.00
102996,$798.00
101365,$258.00
102167,$298.00
102070,$298.00
102400,"$1,198.00"
102401,$698.00
101719,"$1,998.00"
101718,"$1,998.00"
103074,"$1,198.00"
101772,$898.00
101771,$658.00
103246,$538.00
103247,$538.00
101621,$698.00
101620,$498.00
102415,$558.00
102068,$298.00
101375,$298.00
102998,$798.00
102166,$298.00
102936,$798.00
102935,$658.00
102934,$398.00
103429,"$2,398.00"
103426,"$1,398.00"
103430,"$1,398.00"
103117,$798.00
103116,$798.00
102949,"$1,798.00"
102950,"$1,798.00"
102948,$998.00
A0183,$598.00
A0180,"$1,398.00"
78018,$278.00
78012,$278.00
102739,$198.00