3D Asset?,Prop ID,Link,Brand,Prop Name,Size,Color,Modsy Color,EXTERNAL_ID,Retail,Ghost Product,Living Room,Dining Room,Family Room,Office,Guest Room,Master Bedroom,Guest Bedroom,Kid's Room,Nursery,Entry,Studio,Open Living / Dining Room,Price Point,Pet-Friendly,Kid-Friendly,Mod Visionary,Rustic Warmth,Mod Enthusiast,Atomic Industrial,Mod Collector,Contemporary Connoisseur,Refined Rustic,Contemporary Minimalist,Elegant Connoisseur,Modern Rustic,Refined Modern,Mid-Century Chic,Industrial Visionary,Chic Collector,Comfortably Chic,Updated Traditional,Rustic Traveler,Contemporary Collector,Reclaimed Visionary,Discerning Collector,Less is More Chic,Inviting Industrial,Refined Connoisseur,Urban Collector,Classic Collector,Refined Industrial,Urban Traditional,Vintage Farmhouse,Modern Vintage,Industrial Chic,Farmhouse Chic,Refined Farmhouse,Timeless Traditional,Traditional Collector,Rustic Minimalist,Traditionally Chic,Cost 
,,,Jaime Young,"Dahlia Table Lamp, Pink","18"" x 31""",,Pink,1DAHL-TLP,539,,X,X,X,X,X,X,X,X,X,X,X,X,High,,,,,,,,,,,X,,,,,X,X,,,,,,X,,,,,,,,,,,,,,,X,215
,,,Jaime Young,"Axis Table Lamp, Cream","16"" x 25""",,White,1AXIS-TLMOP,689,,X,X,X,X,X,X,X,X,X,X,X,X,High,,,,X,,,,X,X,X,X,X,,,,X,X,,,X,,,X,,,,X,,,,,,X,X,,X,,X,275
,,,Jaime Young,"Jute Macrame Chandelier, Brown","22"" x 18""",,Brown,5MACR-PENA,619,,X,X,X,X,X,X,X,X,X,X,X,X,Mid,,,,X,,,,,X,,,X,,,,,,,X,,X,,,,,,,,,X,,,X,X,,,X,,245
,,,Jaime Young,"Large Link Pendant, Black","18"" x 18.5""",,Black,5LINK-LGIR,559,,X,X,X,X,X,X,X,X,X,X,X,X,Mid,,,,,,X,,,,,X,X,,,X,,,,,,X,,,X,,X,,X,,,,X,,,,,,,220
,,,Jaime Young,"Stacked Horn Table Lamp, Brown","15"" x 27""",,Brown,1STAC-TLHO,919,,X,X,X,X,X,X,X,X,X,X,X,X,High,,,,X,,,,,X,,,X,,,,,,,X,,,,,,,,,,,X,,,X,,,,X,,365
,,,Jaime Young,"Studio Table Lamp, White","10” x 32.5""",,White,9STUDWHD131T,249,,X,X,X,X,X,X,X,X,X,X,X,X,Mid,,,X,,X,,X,,,,X,,,X,,X,X,,,,,,X,,,,,,,,X,,X,,,,,X,100
,,,Jaime Young,"Studio Table Lamp, Green","10” x 32.5""",,Green,9STUDLGD131T,249,,X,X,X,X,X,X,X,X,X,X,X,X,Mid,,,X,,X,,X,,,,X,,,X,,X,X,,,,,,X,,,,,,,,X,,X,,,,,X,100
,,,Jaime Young,"Studio Table Lamp, Blue","10” x 32.5""",,Blue,9STUDPBD131T,249,,X,X,X,X,X,X,X,X,X,X,X,X,Mid,,,X,,X,,X,,,,X,,,X,,X,X,,,,,,X,,,,,,,,X,,X,,,,,X,100
,,,Jaime Young,"Studio Table Lamp, Pink","10” x 32.5""",,Pink,9STUDPPD131T,249,,X,X,X,X,X,X,X,X,X,X,X,X,Mid,,,X,,X,,X,,,,X,,,X,,X,X,,,,,,X,,,,,,,,X,,X,,,,,X,100
,,,Jaime Young,"Franco Tri-Pod Table Lamp, Brass","15.25"" x 33""",,Brown,1FRAN-TLAB,469,,X,X,X,X,X,X,X,X,X,X,X,X,High,,,,X,,X,,,X,,X,X,,,X,X,,,,,X,,,X,,X,,,,X,,X,X,,,,,X,185
,,,Jaime Young,"Franco Tri-Pod Table Lamp, Black","15.25"" x 33""",,Black,1FRAN-FLOB,679,,X,X,X,X,X,X,X,X,X,X,X,X,High,,,,X,,X,,,X,,,X,,,X,,,,,,X,,,X,,X,,,,X,,X,X,,,,,,270
,,,Jaime Young,"Circus Table Lamp, White","16.5"" x 26.5""",,White,9CIRCWHC255C,299,,X,X,X,X,X,X,X,X,X,X,X,X,High,,,,X,,,,X,X,,,,,,,,,,,X,,,,,,,,,,X,,,X,X,,,,,$120.00
,,,Jaime Young,"Striped Silver Pillar Table Lamp, Silver","18"" x 38""",,Silver,1PILL-TLSS,649,,X,X,X,X,X,X,X,X,X,X,X,X,High,,,,,,,,,,,X,,,,,X,X,,,,,,X,X,,,,,,,,X,X,,,,,X,260
,,,Jaime Young,"Laurel Table Lamp, Clear","15"" x 26""",,Clear,1LAUR-TLCL,579,,X,X,X,X,X,X,X,X,X,X,X,X,High,,,,,,,,,,,X,,,,,X,X,,,,,,X,,,,,,,,,,X,,,,,X,230
,,,Jaime Young,"Tall Ribbon Table Lamp, Clear","15"" x 24""",,Clear,9RIBTCLD131M,339,,X,X,X,X,X,X,X,X,X,X,X,X,High,,,,,,,X,,,,X,,,X,,X,X,,,X,,,X,,,,,,,,,,X,,,,,X,135
,,,Jaime Young,"Bell Pendant, Silver","11"" x 7.5""",,Silver,5BELL-PELG,329,,X,X,X,X,X,X,X,X,X,X,X,X,Mid,,,,,,,,,,,X,,,,,X,X,X,,X,,,X,,,,,,,,,X,X,,,X,,X,130
,,,Jaime Young,"Dome Pendant, Silver","11"" x 9""",,Silver,5DOME-PESS,329,,X,X,X,X,X,X,X,X,X,X,X,X,Mid,,,,,,,,,,,X,,,,,X,X,,,,,,X,,,,,,,,,X,X,,,,,X,130
,,,Jaime Young,"Trace Table Lamp, White","18"" x 31.5""",,White,9TRACWHD131L,339,,X,X,X,X,X,X,X,X,X,X,X,X,High,,,,X,,,,X,X,X,,X,,,,,X,X,,,,,X,,X,,,,,,,,X,,X,X,,X,135
,,,Jaime Young,"Florence Table Lamp, Blue","18"" x 35""",,Blue,1FLOR-TLBL,579,,X,X,X,X,X,X,X,X,X,X,X,X,High,,,,,,,,X,,X,X,,,X,,X,X,,,X,,,X,,,,,,,,,,X,,,,,X,230
,,,Jaime Young,"Florence Table Lamp, Brown","18"" x 35""",,Brown,1FLOR-TLTA,549,,X,X,X,X,X,X,X,X,X,X,X,X,High,,,,,,,,X,,X,X,,,X,,X,X,,,X,,,X,,,,,,,,,,X,,,,,X,220
,,,Jaime Young,"Jud Floor Lamp, Brass","12"" x 67""",,Brown,1JUD-FLAB,649,,X,X,X,X,X,X,X,X,X,X,X,X,High,,,,X,,,,X,,X,,,,,,,,X,,,,,,X,,,,,,,,,,,,X,,X,260
,,,Jaime Young,"Jud Table Lamp, Brass","7"" x 31.5""",,Brown,9JUDABSQ131S,369,,X,X,X,X,X,X,X,X,X,X,X,X,High,,,,X,,,,X,,X,,,,,,,,X,,,,,,X,,,,,,,,,,,,X,,X,145
,,,Jaime Young,"Jud Floor Lamp, Silver","12"" x 67""",,Silver,1JUD-FLNI,579,,X,X,X,X,X,X,X,X,X,X,X,X,High,,,,,,,,X,,X,X,,X,X,,X,X,,,X,,,X,,,,,,,,,X,X,,,,,,230
,,,Jaime Young,"Jud Table Lamp, Silver","7"" x 31.5""",,Silver,9JUDNISQ131S,339,,X,X,X,X,X,X,X,X,X,X,X,X,High,,,,,,,,X,,X,X,,X,X,,X,X,,,X,,,X,,,,,,,,,X,X,,,,,,135
,,,Jaime Young,"Large Lotus Plate, White","15"" x 2""",,White,7LOTU-LGWH,239,,X,X,X,X,X,X,X,X,X,X,X,X,High,,,,,,,,,,,X,,,X,,X,X,,,X,,,X,,,,,,,,,,X,,,,,X,95
,,,Jaime Young,"Pixie Decorative Vases, Set of 3, White","4"" x 21.75"", 5.5"" x 19.5"", 5"" x 18""",,White,7PIXI-VAWH,249,,X,X,X,X,X,X,X,X,X,X,X,X,High,,,X,,X,X,X,,,X,X,,X,X,,X,X,,,X,,,X,X,,X,,,,,X,X,X,,,,,X,100
,,,Jaime Young,"Pixie Decorative Vases, Set of 3, Blue","4"" x 21.75"", 5.5"" x 19.5"", 5"" x 18""",,Blue,7PIXI-VAPW,249,,X,X,X,X,X,X,X,X,X,X,X,X,High,,,X,,X,X,X,,,X,X,,X,X,,X,X,,,X,,,X,X,,X,,,,,X,X,X,,,,,X,$100.00
,,,Jaime Young,"Jute Flower Mirror, Brown","36"" x 1""",,Brown,7FLOW-LGJU,550,,X,X,X,X,X,X,X,X,X,X,X,X,High,,,,X,,,,,X,,,X,,,,,X,,X,,,,X,,,,,,,,,,X,,,,,X,$220.00
,,,Jaime Young,"Small Round Mirror, Brown","16"" x 3""",,Brown,7ROUN-MIBR,550,,X,X,X,X,X,X,X,X,X,X,X,X,High,,,X,X,X,X,X,,X,,,,,X,X,,,X,X,X,,,,X,,X,X,X,X,,X,X,,,,,,,$220.00
,,,Jaime Young,"Round Cross Stitch Mirror, Grey","36"" x 1""",,Grey,7CROS-LGGR,1200,,X,X,X,X,X,X,X,X,X,X,X,X,High,,,,X,,,X,,X,,,X,,,,X,X,X,X,X,X,,,X,,X,X,,,X,,X,X,X,,,X,X,$480.00
